Entry (map)	Metabolism	Pathway	KOs
map00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00001~K00002~K00016~K00114~K00121~K00128~K00129~K00131~K00134~K00138~K00149~K00150~K00161~K00162~K00163~K00169~K00170~K00171~K00172~K00174~K00175~K00382~K00627~K00844~K00845~K00850~K00873~K00886~K00895~K00918~K00927~K01084~K01085~K01086~K01222~K01223~K01568~K01596~K01610~K01622~K01623~K01624~K01689~K01785~K01792~K01803~K01810~K01834~K01835~K01837~K01895~K01905~K01913~K02446~K02752~K02753~K02777~K02778~K02779~K02790~K02791~K03103~K03737~K03841~K04022~K04041~K04072~K06859~K08074~K10705~K11389~K11532~K11645~K12406~K12407~K13810~K13951~K13952~K13953~K13954~K13980~K14028~K14029~K14085~K15633~K15634~K15635~K15778~K15779~K15916~K16305~K16306~K16370~K18857~K18978~K20116~K20117~K20118~K20866~K21071~K22224~K22473~K22474~
map00020	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00024~K00025~K00026~K00030~K00031~K00116~K00161~K00162~K00163~K00164~K00169~K00170~K00171~K00172~K00174~K00175~K00176~K00177~K00234~K00235~K00236~K00237~K00239~K00240~K00241~K00242~K00244~K00245~K00246~K00247~K00382~K00627~K00658~K01596~K01610~K01647~K01648~K01676~K01677~K01678~K01679~K01681~K01682~K01899~K01900~K01902~K01903~K01958~K01959~K01960~K03737~K05942~K15230~K15231~K17753~K18118~K18859~K18860~
map00030	Carbohydrate metabolism	Pentose phosphate pathway	K00032~K00033~K00034~K00036~K00090~K00115~K00117~K00131~K00615~K00616~K00850~K00851~K00852~K00874~K00895~K00918~K00948~K01053~K01057~K01086~K01619~K01621~K01622~K01623~K01624~K01625~K01690~K01783~K01807~K01808~K01810~K01835~K01839~K02446~K03738~K03841~K04041~K05308~K05774~K06151~K06152~K06859~K07404~K08093~K08094~K11395~K11441~K11529~K11532~K11645~K13810~K13812~K13831~K13937~K15778~K15779~K15916~K16305~K16306~K16370~K17463~K17464~K17465~K17466~K17467~K17468~K18020~K18021~K18022~K18124~K18125~K18126~K18127~K18128~K18978~K19243~K19813~K21071~K21840~K22199~K22229~K22345~K22969~
map00040	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00002~K00007~K00008~K00011~K00012~K00039~K00040~K00041~K00065~K00078~K00594~K00699~K00848~K00853~K00854~K00875~K00880~K00963~K01051~K01184~K01195~K01213~K01629~K01685~K01686~K01728~K01730~K01731~K01783~K01804~K01805~K01812~K01815~K01820~K03077~K03078~K03079~K03331~K05351~K05352~K08092~K08322~K08323~K09988~K12447~K13247~K13877~K14259~K14273~K14274~K14275~K14756~K16190~K16849~K16850~K17738~K17743~K17818~K18102~K18103~K18106~K18107~K19551~K19588~K19634~K21030~K21031~K21619~K21680~K21681~K22185~K22186~K22187~K22396~K22397~K22539~K22933~K22935~K22994~
map00051	Carbohydrate metabolism	Fructose and mannose metabolism	K00007~K00008~K00009~K00011~K00045~K00064~K00066~K00068~K00594~K00844~K00846~K00847~K00848~K00850~K00863~K00879~K00881~K00882~K00895~K00900~K00966~K00971~K00976~K01086~K01103~K01218~K01622~K01623~K01624~K01628~K01629~K01711~K01729~K01795~K01803~K01805~K01808~K01809~K01813~K01818~K01820~K01840~K02377~K02446~K02768~K02769~K02770~K02771~K02781~K02782~K02783~K02793~K02794~K02795~K02796~K02798~K02799~K02800~K02812~K02813~K02814~K02815~K03332~K03841~K04041~K05305~K05947~K07026~K07046~K08261~K11194~K11195~K11196~K11532~K11645~K12660~K12661~K14634~K15778~K15856~K15916~K16011~K16305~K16306~K16370~K16881~K17195~K17497~K17742~K18333~K18334~K18335~K18336~K18337~K18338~K18339~K18447~K18818~K19028~K19029~K19030~K19290~K19291~K19355~K19633~K19956~K21071~K21883~K22252~
map00052	Carbohydrate metabolism	Galactose metabolism	K00011~K00035~K00094~K00704~K00844~K00845~K00849~K00850~K00883~K00917~K00963~K00965~K01084~K01182~K01187~K01189~K01190~K01193~K01203~K01220~K01229~K01631~K01635~K01684~K01784~K01785~K01819~K01835~K01854~K02079~K02080~K02744~K02745~K02746~K02747~K02773~K02774~K02775~K02786~K02787~K02788~K04618~K05308~K06611~K06617~K07406~K07407~K07966~K07967~K08302~K10984~K10985~K10986~K11395~K12047~K12111~K12112~K12308~K12309~K12316~K12317~K12407~K12447~K15778~K15779~K16370~K16371~K17716~K18124~K18125~K18126~K18127~K18819~K21071~K21620~K21621~K21622~K22215~
map00053	Carbohydrate metabolism	Ascorbate and aldarate metabolism	K00012~K00064~K00103~K00128~K00149~K00225~K00423~K00434~K00469~K00699~K00880~K01053~K01630~K01706~K01707~K01708~K02821~K02822~K03077~K03078~K03079~K03475~K03476~K08092~K08232~K10046~K10047~K12447~K13873~K13874~K13875~K13876~K13877~K14085~K14190~K16190~K17744~K18649~K18981~K18982~K18983~K19588~K19642~K19660~K20023~K21888~K23003~K23004~K23005~K23007~
map00500	Carbohydrate metabolism	Starch and sucrose metabolism	K00688~K00689~K00690~K00691~K00692~K00693~K00694~K00695~K00696~K00697~K00700~K00701~K00702~K00703~K00705~K00706~K00750~K00844~K00845~K00847~K00963~K00975~K00978~K01084~K01087~K01176~K01177~K01178~K01179~K01182~K01187~K01188~K01193~K01194~K01196~K01199~K01200~K01203~K01208~K01210~K01212~K01214~K01222~K01223~K01225~K01226~K01232~K01236~K01513~K01810~K01835~K01838~K02438~K02749~K02750~K02759~K02760~K02761~K02777~K02790~K02791~K02808~K02809~K02810~K02817~K02818~K02819~K05341~K05342~K05343~K05349~K05350~K05988~K05992~K06044~K06859~K06896~K07024~K07405~K11809~K12047~K12316~K12317~K12407~K13057~K13679~K13810~K15778~K15779~K15916~K16055~K16146~K16147~K16148~K16149~K16150~K16153~K18447~K18775~K19357~K19668~K19891~K19892~K19893~K20107~K20108~K20811~K20812~K21574~K22337~K22451~K22934~
map00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	K00012~K00066~K00075~K00326~K00523~K00621~K00698~K00770~K00790~K00820~K00844~K00845~K00847~K00849~K00884~K00885~K00886~K00963~K00965~K00966~K00971~K00972~K00975~K00976~K00978~K00983~K00992~K01097~K01183~K01198~K01207~K01209~K01233~K01443~K01452~K01639~K01654~K01709~K01711~K01784~K01787~K01788~K01791~K01809~K01810~K01835~K01836~K01840~K01854~K02377~K02472~K02473~K02474~K02564~K02763~K02764~K02765~K02777~K02778~K02779~K02790~K02791~K02793~K02794~K02795~K02796~K02802~K02803~K02804~K03431~K04042~K05304~K05305~K06118~K06859~K07102~K07106~K07806~K08068~K08080~K08678~K08679~K10011~K10012~K10046~K11191~K11192~K11528~K12373~K12407~K12409~K12446~K12447~K12448~K12449~K12450~K12451~K12452~K12453~K12454~K12455~K13010~K13014~K13015~K13016~K13017~K13018~K13019~K13020~K13379~K13381~K13648~K13810~K13967~K15778~K15779~K15855~K15856~K15857~K15858~K15894~K15895~K15896~K15897~K15898~K15899~K15910~K15912~K15913~K15916~K15920~K15921~K16011~K16190~K16881~K17497~K17716~K17939~K18429~K18430~K18431~K18675~K18676~K18677~K19632~K20116~K20117~K20118~K20547~K20844~K21749~K22252~K22268~K22292~K22925~K22926~
map00620	Carbohydrate metabolism	Pyruvate metabolism	K00016~K00024~K00025~K00026~K00027~K00028~K00029~K00049~K00051~K00090~K00101~K00102~K00116~K00128~K00132~K00138~K00149~K00156~K00158~K00161~K00162~K00163~K00169~K00170~K00171~K00172~K00174~K00175~K00244~K00245~K00246~K00247~K00382~K00467~K00625~K00626~K00627~K00656~K00873~K00925~K01003~K01006~K01007~K01026~K01067~K01069~K01512~K01571~K01573~K01595~K01596~K01610~K01638~K01649~K01655~K01676~K01677~K01678~K01679~K01759~K01895~K01905~K01913~K01946~K01958~K01959~K01960~K01961~K01962~K01963~K02160~K02594~K03737~K03777~K03778~K04020~K04021~K04072~K04073~K05523~K07248~K10977~K11262~K11263~K12406~K12972~K13788~K14085~K15024~K17741~K18118~K18366~K18472~K18881~K19266~K20370~K20509~K21618~K22211~K22212~K22224~K22373~K23257~
map00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K00015~K00018~K00023~K00024~K00025~K00026~K00042~K00048~K00049~K00050~K00090~K00104~K00122~K00123~K00124~K00126~K00127~K00281~K00282~K00283~K00284~K00382~K00600~K00605~K00626~K00830~K00865~K01091~K01432~K01433~K01450~K01455~K01458~K01569~K01577~K01601~K01602~K01608~K01625~K01637~K01638~K01647~K01681~K01682~K01816~K01846~K01847~K01848~K01849~K01895~K01913~K01915~K01964~K01965~K01966~K02437~K03418~K03779~K03780~K03781~K04835~K05606~K07130~K07246~K07248~K08691~K08692~K11263~K11472~K11473~K11517~K11529~K12972~K14067~K14263~K14272~K14446~K14447~K14448~K14449~K14451~K15036~K15037~K15893~K15918~K15919~K17865~K18121~K18123~K18472~K19268~K19269~K19280~K19281~K19282~K19312~K22133~K22223~K22515~K22568~K22982~
