protein	id	evalue	score
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_4	PF05475.11	1.5999999999999998e-88	287.3
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_6	PF03796.15	7.899999999999999e-85	277.5
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_1	PF03677.13	8e-77	251.5
NC_001331.1$~&Pseudomonas$~&phage$~&Pf1,$~&complete$~&genome_7	PF05707.12	8.299999999999999e-59	191.8
NC_001331.1$~&Pseudomonas$~&phage$~&Pf1,$~&complete$~&genome_4	PF05356.11	9.599999999999998e-55	175.9
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_11	PF06067.11	4.9e-50	163.7
NC_001331.1$~&Pseudomonas$~&phage$~&Pf1,$~&complete$~&genome_12	PF17525.2	1.3999999999999997e-48	156.7
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_2	PF13614.6	1e-45	149.1
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_36	PF13604.6	1.9e-23	76.5
MH552510.2$~&Microviridae$~&sp.$~&isolate$~&ctch16,$~&complete$~&genome_1	PF02305.17	2.4e-20	66.0
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_7	PF00589.22	2.1e-19	63.3
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_87	PF18760.1	7.4e-19	62.5
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_10	PF00692.19	1.3000000000000002e-18	60.3
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_12	PF05565.11	3.3e-18	59.6
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_16	PF02511.15	1.2e-17	57.7
NZ_CP036309.1$~&Klebsiella$~&pneumoniae$~&strain$~&WCHKP020098$~&plasmid$~&p3_020098,$~&complete$~&sequence_8	PF05713.11	4.7e-17	55.6
NZ_CP036309.1$~&Klebsiella$~&pneumoniae$~&strain$~&WCHKP020098$~&plasmid$~&p3_020098,$~&complete$~&sequence_3	PF05016.15	1.8999999999999998e-16	53.8
MH552500.1$~&CrAssphage$~&sp.$~&isolate$~&ctcc615,$~&complete$~&genome_23	PF01068.21	5.9e-13	42.2
CP003812.1$~&Chlamydia$~&psittaci$~&84/55$~&plasmid$~&pcp8455,$~&complete$~&sequence_8	PF00589.22	1e-12	41.6
